city,pm25,pm10,no2,o3,so2,co,temperature_x,humidity_x,pressure_x,wind_speed_x,latitude,longitude,aqi,health_risk
delhi,192,124,19.4,1.0,7.6,0.1,10.3,86.66666666666667,995.0,0.6333333333333334,28.6139,77.209,400,HIGH
kanpur,113,69,8.2,3.6,11.5,7.7,10.0,80.59,750.0,0.4,26.4499,80.3319,300,HIGH
noida,194,138,23.7,5.9,3.3,6.3,26.45,86.0,754.0,0.5,28.5355,77.391,400,HIGH
ghaziabad,178,113,21.1,5.2,3.6,6.1,30.2,71.0,738.0,1.1,28.6692,77.4538,400,HIGH
gurgaon,175,112,2.7,2.7,2.6,12.5,-52.01,,821.8,0.99,28.4595,77.0266,400,HIGH
delhi,197,126,16.2,1.0,7.8,0.1,10.3,88.0,995.75,0.575,28.6139,77.209,400,HIGH
kanpur,102,65,8.3,3.7,11.2,7.4,8.0,84.67,750.0,0.7000000000000001,26.4499,80.3319,300,HIGH
noida,200,159,19.4,5.2,3.2,7.3,26.433333333333334,89.0,754.6666666666666,0.7333333333333334,28.5355,77.391,400,HIGH
ghaziabad,200,140,23.5,3.9,3.5,9.9,30.46666666666667,71.33333333333333,738.0,1.5666666666666669,28.6692,77.4538,400,HIGH
gurgaon,181,124,11.5,5.1,2.6,27.0,-52.01,,845.2,0.97,28.4595,77.0266,400,HIGH
